pshop,price,pname
天创 笔记本专卖,¥3398.00,东芝笔记本C40-AT27W1
江苏辰梵电子科技有限公司,¥5199.00,Lenovo/联想 Flex14 I5-4200 4G 500G 2G独显 大黄蜂 超级本 十点触控 翻转
天创 笔记本专卖,¥4199.00,三星（Samsung）905S3K系列 13.3英寸防眩光屏 超极本电脑 四核高分屏
山东新海软件股份有限公司,¥12999.00,戴尔（DELL） XPS14R-4618 14英寸超极本 （i5-3337U 4G内存 500G+32G固态 GT630M 1G独显 蓝牙 Win8）
济南众义经贸有限公司,¥3359.00,Lenovo/联想 小新 air 12.2超薄轻薄便携学生商务手提笔记本电脑
科硕网络,¥4699.00,联想（Lenovo） V310-15 15.6英寸(i5-7200U 4G 128G+500G)商用办公笔记本电脑
富银数码科技,¥3599.00,HP/惠普 HP 15-ac195TX 酷睿i5独显游戏本笔记本电脑超薄15.6英寸
戴尔官方旗舰店（分期店）,¥4799.00,戴尔 DELL 灵越5000 增强版全新八代i5四核PCIe固态14英寸三边微框轻薄笔记本电脑5488-1505
富银数码科技,¥4999.00,HP/惠普 pavvilion 15 ab525tx i5 GT 940M 15.6英寸游戏笔记本电脑
红星科技品牌授权店,¥4999.00,Lenovo/联想 小新 潮7000 15 2018款笔记本电脑轻薄便携本(A6/2G独显/4G/2T大硬盘可选/15.6英寸全高清IPS屏)
富银数码科技,¥3599.00,HP/惠普 HP 15-ac195TX 酷睿i5独显游戏本笔记本电脑超薄 15.6英寸
戴尔官方旗舰店（分期店）,¥5099.00,戴尔DELL灵越5488-1625增强版八代i5四核PCIe固态14英寸轻薄微框笔记本 免费升级2至年电池保修服务 购机并好评赠戴尔无线鼠标WM126
TSM数码旗舰店,¥6388.00,苹果2017款 Apple MacBook Air 13.3英寸苹果笔记本电脑
